,canon_smi,pX,source,is_train
102,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5ccnc(C(F)(F)F)c5)ccc43)c2C1,4.6020599913279625,reaxys,True
103,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5ccnc(N6CCOCC6)c5)ccc43)c2C1,4.678111722417703,reaxys,True
104,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5ccncc5)ccc43)c2C1,4.6020599913279625,reaxys,True
105,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cncc(S(C)(=O)=O)c5)ccc43)c2C1,4.6020599913279625,reaxys,True
106,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cnn(C(F)F)c5)ccc43)c2C1,4.95128636191903,reaxys,True
107,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cnn(C6CC6)c5)ccc43)c2C1,4.843784117323238,reaxys,True
108,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cnn(C6CCC6)c5)ccc43)c2C1,4.6020599913279625,reaxys,True
109,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cnn(C6CCOCC6)c5)ccc43)c2C1,4.860561725841832,reaxys,True
110,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cnn(CC6CC6)c5)ccc43)c2C1,4.6020599913279625,reaxys,True
111,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cnn(CCN6CCOCC6)c5)ccc43)c2C1,4.6020599913279625,reaxys,True
112,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cnn(CCO)c5)ccc43)c2C1,4.6020599913279625,reaxys,True
113,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cnn(Cc6ccccn6)c5)ccc43)c2C1,4.6020599913279625,reaxys,True
114,CC(=O)N1CCn2c(C3CCC3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
115,CC(=O)N1CCn2c(C3CCN(C)CC3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
116,CC(=O)N1CCn2c(C3CCNCC3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
117,CC(=O)N1CCn2c(C3CCOC3)nc(-c3cc4c(-c5cnn(C)c5)nn(C)c4cc3F)c2C1,4.6020599913279625,reaxys,True
118,CC(=O)N1CCn2c(C3CCOC3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.201073261422798,reaxys,True
119,CC(=O)N1CCn2c(C3CCOCC3)nc(-c3c(F)ccc4cc(-c5cnc(C)s5)ncc34)c2C1,4.653216856741878,reaxys,True
120,CC(=O)N1CCn2c(C3CCOCC3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.4278256863869405,reaxys,True
121,CC(=O)N1CCn2c(C3CCOCC3)nc(-c3cccc4cc(-c5cnc(C)s5)ncc34)c2C1,4.880282340894505,reaxys,True
122,CC(=O)N1CCn2c(C3CCS(=O)(=O)CC3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,4.6020599913279625,reaxys,True
123,CC(=O)N1CCn2c(C3CN(C(C)=O)C3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
124,CC(=O)N1CCn2c(C3CN(C)C3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
125,CC(=O)N1CCn2c(Cl)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
126,CC(=O)N1CCn2c(N3CCOCC3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1.O=C(O)C(F)(F)F,4.6020599913279625,reaxys,True
127,CC(=O)N1CCn2cnc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
128,CC(=O)N1c2ccccc2N(C(=O)C2CCCC2)C[C@@H]1C,4.366531544420414,reaxys,True
129,CC(=O)N1c2ccccc2N(C(=O)CC(C)C)C[C@@H]1C,4.301029995663981,reaxys,True
130,CC(=O)N1c2ccccc2N(C(=O)c2ccccc2)C[C@@H]1C,4.301029995663981,reaxys,True
131,CC(=O)N1c2ccccc2N(C(=O)c2ccco2)C[C@@H]1C,4.853871964321762,reaxys,True
132,CC(=O)NCc1cccc(Nc2nc3ccccc3n3c(C)nnc23)c1,5.0,reaxys,True
133,CC(=O)N[C@H]1CC[C@H](Oc2cc(=O)n(C)cc2-c2ccc3cnn(Cc4ccccc4)c3c2)CC1,4.822618192965045,reaxys,True
134,CC(=O)Nc1cc(-c2c(C)noc2C)cn(Cc2ccccc2)c1=O,4.522878745280337,reaxys,True
135,CC(=O)Nc1cc(NC(=O)c2ccc3c(c2)c(-c2ccc(N)cc2C)nn3C)ccc1C,4.982966660701219,reaxys,True
136,CC(=O)Nc1cc(NC(=O)c2ccc3c(c2)c(-c2ccc(N)nc2)nn3C)ccc1C,4.600326278518962,reaxys,True
137,CC(=O)Nc1ccc(CNc2cc(Cc3n[nH]c(=O)c4ccccc34)cc(-c3c(C)noc3C)c2)cc1,4.93246884258267,reaxys,True
138,CC(=O)Nc1ccc(NCc2cc(Cl)ccc2OCc2ccccc2Cl)cc1,4.440601336005965,reaxys,True
139,CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2ccc3[nH]c(=O)c(C)nc3c2)c1,4.968115348025463,reaxys,True
140,CC(=O)Nc1cccc(/C=C(/C(=O)N2CC(=O)Nc3ccccc32)c2ccccc2)c1,4.3979400086720375,reaxys,True
141,CC(=O)Nc1cccc(CNc2cc(Cc3n[nH]c(=O)c4ccccc34)cc(-c3c(C)noc3C)c2)c1,4.90908370646878,reaxys,True
142,CC(=O)Nc1cccc(NC(=O)c2ccc3c(c2)c(-c2ccc(N)cc2C)nn3C)c1,4.85078088734462,reaxys,True
143,CC(=O)Nc1ncc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)s1,4.698970004336019,reaxys,True
144,CC(=O)Oc1ccc(Cn2ccnc2)c2cccnc12,4.54515513999149,reaxys,True
145,CC(=O)c1cc(-c2ccccc2CO)c2ccccn12,4.410050398674293,reaxys,True
146,CC(=O)c1cc(-c2ccccc2S(C)(=O)=O)c2cc(CNC(=O)OC(C)(C)C)ccn12,4.301029995663981,reaxys,True
147,CC(=O)c1cc(-c2ccccc2S(C)(=O)=O)c2cc(Oc3ccccc3)ccn12,4.301029995663981,reaxys,True
148,CC(=O)c1cc(-c2ccccc2S(C)(=O)=O)c2ccccn12,4.301029995663981,reaxys,True
149,CC(=O)c1ccc(-c2c(C)noc2C)cc1,5.267747774549482,reaxys,True
150,CC(=O)c1ccccc1O,5.050609993355088,reaxys,True
151,CC(=O)c1cn(C)c(=O)c2ccc(-c3ccccc3)cc12,4.091514981121351,reaxys,True
152,CC(=O)c1cn(C)c(=O)c2ccc(-c3cnn(C)c3)cc12,4.619788758288394,reaxys,True
153,CC(=O)c1cn(C)c(=O)c2ccc(-c3ncco3)cc12,4.142667503568732,reaxys,True
154,CC(=O)c1cn(C)c(=O)c2ccc(-c3nccs3)cc12,3.9172146296835497,reaxys,True
155,CC(=O)c1cn(C)c(=O)c2ccccc12,4.1487416512809245,reaxys,True
156,CC(=O)n1cc(C(=O)Nc2cc(C(=O)O)cc(-c3ccco3)c2)c2ccccc21,5.179262944747951,reaxys,True
157,CC(=O)n1cc(C(=O)Nc2cc(C(=O)O)ccc2F)c2ccccc21,4.698970004336019,reaxys,True
158,CC(=O)n1cc(C(=O)Nc2cc(COC3CCCCO3)cc(C(=O)O)c2)c2ccccc21,4.698970004336019,reaxys,True
159,CC(=O)n1cc(C(=O)Nc2cccc(C(=O)O)c2)c2ccccc21,4.698970004336019,reaxys,True
160,CC(C)(C)C1CCc2c(sc3c2c(-c2ccc(Cl)cc2)nc(=O)n3Cc2cnc(Cl)s2)C1,3.5228787452803374,reaxys,True
161,CC(C)(C)C1CCc2c(sc3c2c(-c2ccccc2)nc(=O)n3Cc2cnc(Cl)s2)C1,4.866358463465315,reaxys,True
162,CC(C)(C)C1CCc2c(sc3c2c(-c2ccccc2)nc(=O)n3Cc2ncccn2)C1,3.817585347565446,reaxys,True
163,CC(C)(C)NS(=O)(=O)c1cccc(Nc2nc(Nc3ccc(C(=O)Nc4ccccc4N)cc3)ncc2Cl)c1,5.133803120088516,reaxys,True
164,CC(C)(C)NS(=O)(=O)c1cccc(Nc2nc(Nc3ccc(N4CCOCC4)c(F)c3)nc3[nH]cnc23)c1,5.360623199523586,reaxys,True
165,CC(C)(C)NS(=O)(=O)c1cccc(Nc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cnc23)c1,5.033003418084379,reaxys,True
166,CC(C)(C)OC(=O)Oc1ccc(Cn2ccnc2)c2cccnc12,5.061906366917827,reaxys,True
167,CC(C)(C)S(=O)(=O)N1CCc2ccc(Nc3nc(NCC4CCOC4)nc4sccc34)cc21,5.494850021680094,reaxys,True
168,CC(C)(C)S(=O)(=O)N1CCc2ccc(Nc3nc(Nc4cccnc4)nc4c3COC4)cc21,5.442492798094342,reaxys,True
169,CC(C)(C)S(=O)(=O)Nc1cc(-c2csc3cnc(Nc4ccc(N5CCNCC5)c(F)c4)nc23)ccc1F,5.494850021680094,reaxys,True
170,CC(C)(C)S(=O)(=O)Nc1cc(-n2ccc3cnc(Nc4ccc(N5CCNC(=O)C5)c(F)c4)nc32)ccc1F,5.0,reaxys,True
171,CC(C)(C)S(=O)(=O)Nc1cc(Nc2nc(NC3CCNCC3)nc3ccsc23)ccc1Cl.Cl,5.485452247339714,reaxys,True
172,CC(C)(C)S(=O)(=O)Nc1ccc(Nc2nc(NC3CCNCC3)nc3sccc23)cc1.Cl,5.130768280269024,reaxys,True
173,CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(NC4CCN(c5ccccc5)CC4)nc32)c1,5.0,reaxys,True
174,CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(NC4CCNCC4)nc32)c1,5.0,reaxys,True
175,CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(Nc4ccc(C(=O)NC5CCNCC5)c(F)c4)nc32)c1,5.0,reaxys,True
176,CC(C)(C)S(=O)(=O)Nc1cccc(Nc2nc(NC3CCC(c4ccccc4)CC3)nc3sccc23)c1,5.0,reaxys,True
177,CC(C)(C)S(=O)(=O)Nc1cccc(Nc2nc(NC3CCN(C#N)CC3)nc3ccsc23)c1,5.0,reaxys,True
178,CC(C)(C)S(=O)(=O)Nc1cccc(Nc2nc(NC3CCNCC3)nc3[nH]ccc23)c1.Cl,5.0,reaxys,True
179,CC(C)(C)c1cc(-c2nnc(-c3cc(F)cc(Cl)c3)o2)no1,5.229268238718639,reaxys,True
180,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,5.005569098677788,reaxys,True
181,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc3oc(=O)ccc3c2)cc1,5.293282217663242,reaxys,True
182,CC(C)(CCl)C(=O)Oc1ccc(Cn2ccnc2)c2cccnc12,5.133628602475189,reaxys,True
183,CC(C)=C1CN([C@H]2CC[C@@]3(C)[C@@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@@H](O)C[C@@H]43)C2=O)C1=O,4.0,reaxys,True
184,CC(C)=CC(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)[C@@H](O)C[C@@H]32)C1,4.7121982700697735,reaxys,True
185,CC(C)C(NC(=O)c1cn(C)c(=O)c2[nH]ccc12)c1ccccc1,4.958607314841775,reaxys,True
186,CC(C)CCN1CCNC(=O)C1CC(=O)NCCc1n[nH]c(=O)[nH]1,4.698970004336019,reaxys,True
187,CC(C)CN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23,4.522878745280337,reaxys,True
188,CC(C)Cn1cc(-c2cccc(C(=O)N(C)C)c2)c2cc[nH]c2c1=O,5.096910013008056,reaxys,True
189,CC(C)N1CCC(N(C)C(=O)c2cn(C)c(=O)c3[nH]ccc23)CC1,4.707834387816234,reaxys,True
190,CC(C)N1CCN(c2ccc(-c3nc4cccc(Cl)c4c(=O)[nH]3)cc2)CC1,4.301029995663981,reaxys,True
191,CC(NC(=O)c1cn(C)c(=O)c2[nH]ccc12)c1ccc(Cl)cc1,5.494850021680094,reaxys,True
192,CC(NC(=O)c1cn(C)c(=O)c2[nH]ccc12)c1ccccc1F,5.366531544420414,reaxys,True
